Name,Country,Gender,Flights,Total.Flights,Total.Flight.Time,Birth.Year,Military,Selection.Group,Selection.Year,Lifetime.Statistics.Mission.count,Mission.Role,Mission.Year,Mission.Name,Mission.Vechicles.Ascent,Vechicles.Orbit,Vechicles.Decent,Durations.Mission.duration,Lifetime.Statistics.Mission.duration,Mission.Durations.EVA.duration,Lifetime.Statistics.EVA.duration,Status,Birth_Place,Undergraduate_Major,Graduate_Major,Military.Rank,Military.Branch,Space.Flights,Space.Flight..hr.,Space.Walks,Space.Walks..hr.,Missions,Death_Date,Death_Mission,undg_area,Gender_prop,total_duration,nat_total_flight,first_edu,second_edu,birth_city,grad_area,Birth_Month,Birth_Day,Selection_Age,Mission_Age
Andre Kuipers,NA,Other,NA,NA,NA,1958,TRUE,1998 ESA Group,1998,2,flight engineer,2004,Soyuz TMA-4/TMA-3,Soyuz TMA-4,Soyuz TMA-4,Soyuz TMA-3,261,4888,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,40,46
Andre Kuipers,NA,Other,NA,NA,NA,1958,TRUE,1998 ESA Group,1998,2,flight engineer,2012,30,Soyuz TMA-03M,ISS,Soyuz TMA-03M,4627,4888,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,40,54
Junlong Fei,NA,Other,NA,NA,NA,1966,TRUE,China-1,2005,1,commander,2005,Shenzhou 6,Shenzhou 6,Shenzhou 6,Shenzhou 6,115,115,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,39,39
Timothy Nigel Peake,NA,Other,NA,NA,NA,1972,TRUE,2009 ESA Group,2009,1,pilot,2015,46,Soyuz TMA-19M,ISS,Soyuz TMA-19M,4462,4462,4.72,4.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,37,43
Chiaki Mukai,Japan,Female,"STS-65 (1994), STS-95 (1998)",2,023:15:39,1952,TRUE,NASDA-1,1985,2,PSP,1994,STS-65,STS-65,STS-65,STS-65,354,568,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,33,42
Chiaki Mukai,Japan,Female,"STS-65 (1994), STS-95 (1998)",2,023:15:39,1952,TRUE,NASDA-1,1985,2,PSP,1998,STS-95,STS-95,STS-95,STS-95,214,568,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,33,46
Michel Tognini,France,Male,"Soyuz TM-15 (1992), STS-93 (1999)",2,018:17:45,1949,TRUE,CNES-2/EAC,1985,2,MSP,1992,Antares,Soyuz TM-15,Soyuz TM-15,Soyuz TM-14,331,449.77,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,36,43
Michel Tognini,France,Male,"Soyuz TM-15 (1992), STS-93 (1999)",2,018:17:45,1949,TRUE,CNES-2/EAC,1985,2,MSP,1999,STS-93,STS-93,STS-93,STS-93,118.8,449.77,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,36,50
Steven MacLean,Canada,Male,"STS-52 (1992), STS-115 (2006)",2,021:14:06,1954,TRUE,1983 NRC Group,1983,2,PSP,1992,STS-52,STS-52,STS-52,STS-52,236.93,520.03,0,7.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,29,38
Steven MacLean,Canada,Male,"STS-52 (1992), STS-115 (2006)",2,021:14:06,1954,TRUE,1983 NRC Group,1983,2,MSP,2006,STS-115,STS-115,STS-115,STS-115,283.1,520.03,7.18,7.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,29,52
Umberto Guidoni,Italy,Male,"STS-75 (1996), STS-100 (2001)",2,027:15:11,1954,TRUE,1996 NASA Group,1996,2,MSP,1996,STS-75,STS-75,STS-75,STS-75,377.67,663.17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,42,42
Umberto Guidoni,Italy,Male,"STS-75 (1996), STS-100 (2001)",2,027:15:11,1954,TRUE,1996 NASA Group,1996,2,MSP,2001,STS-100,STS-100,STS-100,STS-100,285.5,663.17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,42,47
Walter M. Schirra,NA,Other,NA,NA,NA,1923,TRUE,1959 NASA group 1,1959,3,pilot,1962,Mercury-Atlas 8,Mercury-Atlas 8,Mercury-Atlas 8,Mercury-Atlas 8,9.22,295.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,36,39
Walter M. Schirra,NA,Other,NA,NA,NA,1923,TRUE,1960 NASA group 1,1959,3,commander,1965,Gemini 6A,Gemini 6A,Gemini 6A,Gemini 6A,25.87,295.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,36,42
Walter M. Schirra,NA,Other,NA,NA,NA,1923,TRUE,1961 NASA group 1,1959,3,commander,1968,Apollo 7,Apollo 7,Apollo 7,Apollo 7,260.13,295.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,36,45
Ernst Willi Messerschmid,NA,Other,NA,NA,NA,1945,TRUE,DLR-1,1982,1,PSP,1985,STS-61A,STS-61A,STS-61A,STS-61A,168.73,168.73,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,37,40
Nie Haisheng,NA,Other,NA,NA,NA,1964,TRUE,China-1,2005,2,flight engineer,2005,Shenzhou 6,Shenzhou 6,Shenzhou 6,Shenzhou 6,116,466,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,41,41
Nie Haisheng,NA,Other,NA,NA,NA,1964,TRUE,China-1,2005,2,commander,2008,Shenzhou 10,Shenzhou 10,Shenzhou 10,Shenzhou 10,350,466,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,41,44
Chris Hadfield,Canada,Male,"STS-74 (1995), STS-100 (2001), Soyuz TMA-07M (2012)",3,165:16:20,1959,TRUE,1992 CSA Group,1992,3,pilot,1995,STS-74,STS-74,STS-74,STS-74,196.5,4191.82,0,14.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,33,36
Chris Hadfield,Canada,Male,"STS-74 (1995), STS-100 (2001), Soyuz TMA-07M (2012)",3,165:16:20,1959,TRUE,1992 CSA Group,1992,3,pilot,2001,STS-100,STS-100,STS-100,STS-100,285.5,4191.82,14.83,14.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,33,42
Chris Hadfield,Canada,Male,"STS-74 (1995), STS-100 (2001), Soyuz TMA-07M (2012)",3,165:16:20,1959,TRUE,1992 CSA Group,1992,3,pilot,2012,34,Soyuz TMA-07M,ISS,Soyuz TMA-07M,3710.32,4191.82,0,14.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,33,53
Klaus-Dietrich Flade,Germany,Male,Soyuz TM-13 (1991),1,175:02:51,1952,TRUE,DLR-3,1990,1,MSP,1992,Soyuz TM-14/13,Soyuz TM-14,Soyuz TM-14,Soyuz TM-13,189.95,189.95,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,38,40
Koichi Wakata,Japan,Male,"STS-72 (1996), STS-92 (2000), STS-119 (2009), Soyuz TMA-11M (2013)",4,347:08:32,1963,TRUE,NASDA-2,1992,4,MSP,1996,STS-72,STS-72,STS-72,STS-72,214,8336.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,29,33
Koichi Wakata,Japan,Male,"STS-72 (1996), STS-92 (2000), STS-119 (2009), Soyuz TMA-11M (2013)",4,347:08:32,1963,TRUE,NASDA-2,1992,4,MSP,2000,STS-92,STS-92,STS-92,STS-92,309.75,8336.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,29,37
Koichi Wakata,Japan,Male,"STS-72 (1996), STS-92 (2000), STS-119 (2009), Soyuz TMA-11M (2013)",4,347:08:32,1963,TRUE,NASDA-2,1992,4,flight engineer,2009,18,STS-119,ISS,STS-127,3303,8336.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,29,46
Koichi Wakata,Japan,Male,"STS-72 (1996), STS-92 (2000), STS-119 (2009), Soyuz TMA-11M (2013)",4,347:08:32,1963,TRUE,NASDA-2,1992,4,commander,2013,38,Soyuz TMA-11M,ISS,Soyuz TMA-11M,4509.75,8336.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,29,50
L. Gordon Cooper,United States,Male,"Mercury-Atlas 9 (1963), Gemini 5 (1965)",2,009:09:15,1927,TRUE,NASA- 1,1959,2,pilot,1963,Mercury-Atlas 9,Mercury-Atlas 9,Mercury-Atlas 9,Mercury-Atlas 9,34.32,225,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,32,36
L. Gordon Cooper,United States,Male,"Mercury-Atlas 9 (1963), Gemini 5 (1965)",2,009:09:15,1927,TRUE,NASA- 1,1959,2,commander,1965,Gemini 5,Gemini 5,Gemini 5,Gemini 5,191.92,225,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,32,38
