Name,Country,Gender,Flights,Total.Flights,Total.Flight.Time,Birth.Year,Military,Selection.Group,Selection.Year,Lifetime.Statistics.Mission.count,Mission.Role,Mission.Year,Mission.Name,Mission.Vechicles.Ascent,Vechicles.Orbit,Vechicles.Decent,Durations.Mission.duration,Lifetime.Statistics.Mission.duration,Mission.Durations.EVA.duration,Lifetime.Statistics.EVA.duration,Status,Birth_Place,Undergraduate_Major,Graduate_Major,Military.Rank,Military.Branch,Space.Flights,Space.Flight..hr.,Space.Walks,Space.Walks..hr.,Missions,Death_Date,Death_Mission,undg_area,Gender_prop,total_duration,nat_total_flight,first_edu,second_edu,birth_city,grad_area,Birth_Month,Birth_Day,Selection_Age,Mission_Age
Paolo A. Nespoli,Italy,Male,"STS-120 (2007), Soyuz TMA-20 (2010), Soyuz MS-05 (2017)",3,313:02:37,1957,TRUE,1998 ESA Group,1998,3,flight engineer,2017,52,Soyuz MS-05,ISS,Soyuz MS-05,3328.93,7514.61,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,41,60
Robert Thirsk,Canada,Male,"STS-78 (1996), Soyuz TMA-15 (2009)",2,204:18:30,1953,TRUE,1983 NRC Group,1983,2,MSP,1996,STS-78,STS-78,STS-78,STS-78,405.8,4917.8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,30,43
Robert Thirsk,Canada,Male,"STS-78 (1996), Soyuz TMA-15 (2009)",2,204:18:30,1953,TRUE,1983 NRC Group,1983,2,flight engineer,2009,20,Soyuz TMA-15,ISS,Soyuz TMA-15,4512,4917.8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,30,56
Takao Doi,Japan,Male,"STS-87 (1997), STS-123 (2008)",2,031:10:46,1954,TRUE,NASDA-1,1985,2,MSP,1997,STS-87,STS-87,STS-87,STS-87,376.5,763.6,12.7,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,31,43
Takao Doi,Japan,Male,"STS-87 (1997), STS-123 (2008)",2,031:10:46,1954,TRUE,NASDA-1,1985,2,MSP,2008,STS-123,STS-123,STS-123,STS-123,378.3,763.6,0,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,31,54
Ulrich Walter,Germany,Male,STS-55 (1993),1,009:23:40,1954,TRUE,DLR-2/EAC,1987,1,PSP,1993,STS-55,STS-55,STS-55,STS-55,239.67,239.67,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,33,39
Valery Bykovsky,Soviet Union,Male,"Vostok 5 (1963), Soyuz 22 (1976), Soyuz 31 (1978)",3,020:17:48,1934,TRUE,TsPK-1,1960,3,pilot,1963,Vostok 5,Vostok 5,Vostok 5,Vostok 5,119.13,497.8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,26,29
Valery Bykovsky,Soviet Union,Male,"Vostok 5 (1963), Soyuz 22 (1976), Soyuz 31 (1978)",3,020:17:48,1934,TRUE,TsPK-2,1960,3,commander,1976,Soyuz 22,Soyuz 22,Soyuz 22,Soyuz 22,189,497.8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,26,42
Valery Bykovsky,Soviet Union,Male,"Vostok 5 (1963), Soyuz 22 (1976), Soyuz 31 (1978)",3,020:17:48,1934,TRUE,TsPK-3,1960,3,commander,1978,Soyuz 31/29,Soyuz 31,Salyut 6,Soyuz 29,188,497.8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown / Missing,0.052322163,3780028.675,2186,NA,NA,NA,Unknown / NA,NA,NA,26,44
Virgil I. Grissom,NA,Other,NA,NA,NA,1926,TRUE,NASA Astronaut Group 2,1959,1,commander,1965,Gemini 3,Gemini 3,Gemini 3,Gemini 3,4.86,4.86,0,0,Deceased,"Mitchell, IN",Mechanical Engineering,,Lieutenant Colonel,US Air Force,2,5,0,0,"Mercury 4, Gemini 3, Apollo 1",1/27/1967,Apollo 1,Mechanical Engineering,0.052322163,3780028.675,2186,Purdue University,NA,Mitchell,Unknown / NA,4,3,33,39
